Comunidades  autónomas;Gastos y duración media de los viajes;Tipo de dato;Periodo;Total
01 Andalucía;Gasto total;Dato base;2022M12;713,19
01 Andalucía;Gasto total;Dato base;2022M11;749,93
01 Andalucía;Gasto total;Dato base;2022M10;1.237,63
01 Andalucía;Gasto total;Dato base;2022M09;1.208,41
01 Andalucía;Gasto total;Dato base;2022M08;1.692,39
01 Andalucía;Gasto total;Dato base;2022M07;1.484,99
01 Andalucía;Gasto total;Dato base;2022M06;1.178,11
01 Andalucía;Gasto total;Dato base;2022M05;1.148,96
01 Andalucía;Gasto total;Dato base;2022M04;975,50
01 Andalucía;Gasto total;Dato base;2022M03;750,29
01 Andalucía;Gasto total;Dato base;2022M02;473,72
01 Andalucía;Gasto total;Dato base;2022M01;376,47
01 Andalucía;Gasto total;Dato base;2021M12;440,48
01 Andalucía;Gasto total;Dato base;2021M11;543,39
01 Andalucía;Gasto total;Dato base;2021M10;864,89
01 Andalucía;Gasto total;Dato base;2021M09;720,90
01 Andalucía;Gasto total;Dato base;2021M08;850,30
01 Andalucía;Gasto total;Dato base;2021M07;660,92
01 Andalucía;Gasto total;Dato base;2021M06;304,27
01 Andalucía;Gasto total;Dato base;2021M05;163,14
01 Andalucía;Gasto total;Dato base;2021M04;86,13
01 Andalucía;Gasto total;Dato base;2021M03;50,78
01 Andalucía;Gasto total;Dato base;2021M02;33,73
01 Andalucía;Gasto total;Dato base;2021M01;49,34
01 Andalucía;Gasto total;Dato base;2020M12;80,90
01 Andalucía;Gasto total;Dato base;2020M11;60,62
01 Andalucía;Gasto total;Dato base;2020M10;151,16
01 Andalucía;Gasto total;Dato base;2020M09;164,12
01 Andalucía;Gasto total;Dato base;2020M08;386,57
01 Andalucía;Gasto total;Dato base;2020M07;351,66
01 Andalucía;Gasto total;Dato base;2020M06;9,93
01 Andalucía;Gasto total;Dato base;2020M05;0,00
01 Andalucía;Gasto total;Dato base;2020M04;0,00
01 Andalucía;Gasto total;Dato base;2020M03;332,91
01 Andalucía;Gasto total;Dato base;2020M02;665,60
01 Andalucía;Gasto total;Dato base;2020M01;671,67
01 Andalucía;Gasto total;Dato base;2019M12;668,73
01 Andalucía;Gasto total;Dato base;2019M11;673,02
01 Andalucía;Gasto total;Dato base;2019M10;1.269,13
01 Andalucía;Gasto total;Dato base;2019M09;1.358,57
01 Andalucía;Gasto total;Dato base;2019M08;1.540,54
01 Andalucía;Gasto total;Dato base;2019M07;1.400,59
01 Andalucía;Gasto total;Dato base;2019M06;1.240,00
01 Andalucía;Gasto total;Dato base;2019M05;1.174,90
01 Andalucía;Gasto total;Dato base;2019M04;985,77
01 Andalucía;Gasto total;Dato base;2019M03;884,26
01 Andalucía;Gasto total;Dato base;2019M02;621,42
01 Andalucía;Gasto total;Dato base;2019M01;596,04
01 Andalucía;Gasto total;Dato base;2018M12;632,85
01 Andalucía;Gasto total;Dato base;2018M11;639,49
01 Andalucía;Gasto total;Dato base;2018M10;1.209,02
01 Andalucía;Gasto total;Dato base;2018M09;1.386,97
01 Andalucía;Gasto total;Dato base;2018M08;1.527,78
01 Andalucía;Gasto total;Dato base;2018M07;1.586,08
01 Andalucía;Gasto total;Dato base;2018M06;1.271,05
01 Andalucía;Gasto total;Dato base;2018M05;1.227,53
01 Andalucía;Gasto total;Dato base;2018M04;1.002,42
01 Andalucía;Gasto total;Dato base;2018M03;900,66
01 Andalucía;Gasto total;Dato base;2018M02;660,49
01 Andalucía;Gasto total;Dato base;2018M01;597,05
